0.0,0.288,1.007,0.72
0.0,0.293,1.0,0.735
0.001,0.284,1.006,0.72
0.003,0.276,1.003,0.73
0.003,0.283,1.002,0.72
0.004,0.273,1.01,0.725
0.004,0.275,1.001,0.725
0.004,0.274,1.008,0.72
0.005,0.286,1.0,0.71
0.005,0.269,1.001,0.725
0.006,0.266,1.008,0.73
0.006,0.283,1.0,0.715
0.008,0.259,1.011,0.725
0.008,0.261,1.0,0.725
0.011,0.259,1.001,0.72
0.011,0.255,1.006,0.72
0.013,0.256,1.002,0.72
0.016,0.251,1.013,0.72
0.018,0.25,1.009,0.745
0.019,0.256,1.001,0.68
0.02,0.244,1.003,0.725
0.021,0.254,1.001,0.765
0.023,0.243,1.008,0.725
0.023,0.248,1.001,0.665
0.023,0.254,1.0,0.74
0.025,0.246,1.001,0.685
0.026,0.236,1.001,0.725
0.026,0.253,1.0,0.77
0.028,0.243,1.0,0.725
0.028,0.235,1.003,0.725
0.029,0.229,1.019,0.695
0.029,0.233,1.0,0.75
0.031,0.225,1.002,0.755
0.038,0.224,1.032,0.69
0.039,0.21,1.018,0.695
0.041,0.223,1.016,0.735
0.041,0.228,1.001,0.73
0.041,0.209,1.021,0.695
0.043,0.223,1.002,0.7
0.044,0.226,1.001,0.73
0.045,0.226,1.0,0.725
0.045,0.22,1.015,0.74
0.046,0.211,1.017,0.705
0.046,0.218,1.001,0.71
0.048,0.214,1.01,0.685
0.05,0.216,1.006,0.71
0.051,0.203,1.022,0.685
0.051,0.204,1.015,0.685
0.053,0.213,1.001,0.68
0.053,0.209,1.004,0.685
0.053,0.203,1.011,0.685
0.054,0.198,1.01,0.695
0.055,0.198,1.008,0.69
0.056,0.195,1.011,0.695
0.058,0.195,1.009,0.695
0.058,0.196,1.006,0.69
0.06,0.198,1.001,0.69
0.06,0.195,1.003,0.69
0.06,0.203,1.0,0.72
0.063,0.194,1.0,0.69
0.064,0.184,1.017,0.755
0.073,0.193,1.008,0.72
0.074,0.185,1.012,0.725
0.074,0.19,1.002,0.72
0.079,0.186,1.006,0.73
0.079,0.184,1.011,0.72
0.08,0.189,1.001,0.705
0.08,0.183,1.007,0.72
0.083,0.183,1.003,0.715
0.084,0.173,1.006,0.73
0.085,0.181,1.003,0.73
0.085,0.184,1.001,0.725
0.086,0.179,1.0,0.71
0.089,0.17,1.057,0.695
0.093,0.165,1.116,0.765
0.093,0.178,1.003,0.675
0.095,0.171,1.0,0.73
0.096,0.161,1.0,0.715
0.101,0.16,1.001,0.715
0.104,0.158,1.019,0.725
0.109,0.153,1.204,0.76
0.11,0.154,1.018,0.73
0.113,0.148,1.016,0.695
0.115,0.149,1.014,0.7
0.119,0.146,1.013,0.755
0.119,0.159,1.005,0.695
0.121,0.148,1.011,0.745
0.121,0.158,1.008,0.705
0.126,0.143,1.003,0.735
0.126,0.159,1.002,0.7
0.13,0.155,1.002,0.71
0.13,0.138,1.007,0.745
0.133,0.159,1.0,0.705
0.134,0.136,1.013,0.7
0.139,0.135,1.096,0.695
0.14,0.15,1.001,0.685
0.14,0.129,1.058,0.72
0.141,0.125,1.095,0.71
0.145,0.148,1.002,0.69
0.146,0.135,1.025,0.685
0.146,0.123,1.08,0.69
0.146,0.14,1.002,0.715
0.148,0.145,1.001,0.73
0.148,0.138,1.005,0.715
0.149,0.134,1.007,0.715
0.151,0.139,1.001,0.73
0.151,0.138,1.002,0.715
0.151,0.133,1.01,0.69
0.153,0.128,1.054,0.715
0.153,0.145,1.0,0.68
0.154,0.124,1.055,0.7
0.154,0.128,1.051,0.715
0.154,0.13,1.032,0.73
0.154,0.131,1.008,0.715
0.155,0.129,1.028,0.695
0.156,0.123,1.071,0.685
0.156,0.126,1.001,0.695
0.158,0.123,1.069,0.685
0.159,0.123,1.054,0.7
0.16,0.125,1.0,0.695
0.161,0.124,1.017,0.7
0.164,0.12,1.005,0.695
0.166,0.11,1.049,0.71
0.168,0.11,1.011,0.705
0.169,0.124,1.002,0.695
0.175,0.115,1.006,0.7
0.175,0.123,1.001,0.715
0.175,0.109,1.04,0.705
0.176,0.109,1.037,0.705
0.178,0.114,1.002,0.705
0.179,0.113,1.005,0.7
0.179,0.108,1.1,0.71
0.18,0.109,1.017,0.695
0.18,0.106,1.061,0.75
0.183,0.106,1.028,0.68
0.183,0.108,1.01,0.7
0.183,0.11,1.008,0.68
0.184,0.108,1.007,0.695
0.184,0.105,1.173,0.73
0.185,0.099,1.072,0.695
0.185,0.105,1.036,0.68
0.186,0.091,1.003,0.68
0.186,0.118,1.001,0.715
0.188,0.113,1.002,0.715
0.189,0.099,1.001,0.71
0.196,0.09,1.01,0.675
0.199,0.088,1.029,0.685
0.199,0.096,1.002,0.705
0.204,0.088,1.02,0.715
0.205,0.093,1.001,0.705
0.209,0.084,1.152,0.715
0.21,0.085,1.027,0.71
0.211,0.104,1.0,0.665
