0.0,0.288,0.057,0.715
0.001,0.279,0.058,0.725
0.003,0.266,0.058,0.735
0.004,0.265,0.059,0.725
0.006,0.261,0.061,0.735
0.008,0.25,0.062,0.725
0.009,0.246,0.063,0.725
0.01,0.245,0.064,0.735
0.016,0.23,0.069,0.72
0.03,0.221,0.082,0.765
0.031,0.22,0.084,0.765
0.036,0.209,0.088,0.71
0.039,0.204,0.09,0.765
0.041,0.203,0.092,0.765
0.048,0.2,0.099,0.745
0.053,0.193,0.103,0.77
0.066,0.183,0.117,0.69
0.068,0.18,0.118,0.695
0.076,0.173,0.126,0.715
0.08,0.165,0.129,0.71
0.083,0.153,0.13,0.74
0.085,0.151,0.133,0.73
0.089,0.149,0.136,0.715
0.105,0.148,0.155,0.725
0.106,0.143,0.155,0.715
0.115,0.141,0.165,0.715
0.123,0.14,0.173,0.71
0.126,0.139,0.178,0.71
0.129,0.136,0.18,0.705
0.134,0.135,0.186,0.73
0.14,0.125,0.191,0.69
0.144,0.118,0.194,0.72
0.146,0.111,0.195,0.73
0.151,0.109,0.201,0.725
0.154,0.108,0.204,0.725
0.173,0.104,0.226,0.715
0.188,0.103,0.244,0.66
0.2,0.091,0.257,0.675
0.21,0.09,0.27,0.67
0.215,0.086,0.275,0.705
0.216,0.084,0.276,0.695
0.228,0.083,0.29,0.68
0.246,0.074,0.313,0.645
0.251,0.073,0.319,0.675
0.26,0.069,0.33,0.685
0.274,0.066,0.348,0.675
0.279,0.064,0.355,0.67
0.286,0.063,0.365,0.665
0.303,0.058,0.387,0.665
0.306,0.056,0.392,0.655
0.315,0.054,0.404,0.665
0.316,0.053,0.405,0.665
0.326,0.049,0.419,0.645
0.341,0.048,0.441,0.615
0.346,0.046,0.448,0.615
0.361,0.043,0.47,0.635
0.375,0.041,0.492,0.63
0.386,0.04,0.51,0.555
0.411,0.036,0.55,0.545
0.424,0.03,0.569,0.56
0.476,0.026,0.664,0.465
0.51,0.021,0.729,0.47
0.513,0.02,0.733,0.45
0.514,0.019,0.735,0.45
0.531,0.018,0.771,0.445
0.533,0.015,0.772,0.445
0.538,0.013,0.781,0.45
0.599,0.011,0.923,0.375
0.605,0.01,0.938,0.39
0.606,0.008,0.939,0.37
0.645,0.005,1.041,0.365
0.65,0.001,1.051,0.325
0.686,0.0,1.159,0.3
