0.0,0.276,1.0,0.74
0.005,0.274,1.001,0.73
0.005,0.266,1.009,0.765
0.006,0.264,1.001,0.71
0.01,0.261,1.002,0.7
0.011,0.268,1.0,0.725
0.013,0.254,1.013,0.75
0.013,0.249,1.024,0.74
0.015,0.258,1.007,0.745
0.016,0.263,1.001,0.72
0.018,0.249,1.012,0.74
0.019,0.255,1.003,0.72
0.02,0.254,1.005,0.755
0.021,0.246,1.019,0.755
0.023,0.243,1.0,0.705
0.024,0.238,1.002,0.755
0.024,0.235,1.009,0.77
0.025,0.234,1.006,0.77
0.026,0.234,1.004,0.77
0.028,0.231,1.002,0.77
0.029,0.234,1.001,0.77
0.038,0.211,1.018,0.765
0.038,0.23,1.007,0.77
0.039,0.229,1.002,0.765
0.039,0.228,1.009,0.76
0.044,0.216,1.003,0.735
0.045,0.228,1.001,0.75
0.046,0.218,1.002,0.73
0.048,0.209,1.007,0.72
0.05,0.215,1.002,0.71
0.051,0.208,1.011,0.705
0.051,0.219,1.001,0.725
0.055,0.208,1.003,0.7
0.056,0.204,1.036,0.75
0.056,0.206,1.001,0.7
0.058,0.204,1.033,0.75
0.059,0.203,1.027,0.755
0.06,0.201,1.052,0.725
0.063,0.199,1.035,0.715
0.063,0.204,1.011,0.75
0.063,0.213,1.0,0.74
0.063,0.196,1.059,0.7
0.064,0.203,1.009,0.72
0.064,0.195,1.032,0.69
0.065,0.198,1.006,0.715
0.066,0.194,1.09,0.695
0.068,0.2,1.001,0.715
0.068,0.19,1.024,0.73
0.068,0.196,1.013,0.745
0.07,0.198,1.004,0.74
0.07,0.191,1.019,0.72
0.071,0.189,1.03,0.705
0.071,0.194,1.007,0.71
0.073,0.191,1.009,0.775
0.073,0.193,1.002,0.72
0.074,0.185,1.0,0.73
0.075,0.183,1.169,0.775
0.076,0.178,1.006,0.73
0.084,0.175,1.009,0.77
0.086,0.178,1.003,0.755
0.088,0.171,1.017,0.725
0.091,0.165,1.061,0.71
0.091,0.179,1.001,0.745
0.093,0.173,1.008,0.735
0.093,0.168,1.028,0.765
0.094,0.165,1.031,0.76
0.094,0.171,1.005,0.735
0.095,0.165,1.003,0.735
0.096,0.174,1.0,0.76
0.099,0.164,1.005,0.715
0.1,0.16,1.068,0.71
0.103,0.158,1.051,0.775
0.103,0.171,1.001,0.7
0.103,0.161,1.049,0.74
0.104,0.156,1.054,0.775
0.106,0.156,1.015,0.735
0.108,0.166,1.0,0.7
0.109,0.156,1.01,0.735
0.109,0.154,1.078,0.7
0.111,0.156,1.008,0.735
0.111,0.159,1.004,0.75
0.111,0.154,1.07,0.715
0.113,0.161,1.002,0.71
