0.0,0.299,0.0,0.715
0.0,0.291,2.0E-5,0.715
0.0,0.296,1.0E-5,0.715
0.001,0.29,0.0,0.72
0.001,0.285,2.0E-5,0.72
0.003,0.28,4.0E-5,0.725
0.003,0.285,0.0,0.715
0.003,0.284,3.0E-5,0.72
0.004,0.279,2.0E-5,0.715
0.004,0.28,1.0E-5,0.715
0.004,0.273,4.0E-5,0.725
0.005,0.278,2.0E-5,0.715
0.005,0.276,3.0E-5,0.72
0.006,0.281,0.0,0.73
0.006,0.271,5.0E-5,0.725
0.006,0.273,3.0E-5,0.715
0.008,0.28,0.0,0.72
0.008,0.275,2.0E-5,0.72
0.009,0.27,2.0E-5,0.72
0.009,0.274,1.0E-5,0.735
0.01,0.263,6.0E-5,0.76
0.01,0.264,5.0E-5,0.725
0.011,0.271,0.0,0.74
0.011,0.266,1.0E-5,0.715
0.014,0.269,0.0,0.73
0.014,0.253,1.0E-5,0.755
0.016,0.268,0.0,0.74
0.018,0.265,0.0,0.74
0.019,0.251,1.0E-5,0.755
0.02,0.25,2.0E-5,0.755
0.02,0.258,0.0,0.745
0.023,0.245,5.0E-5,0.74
0.023,0.256,0.0,0.745
0.023,0.246,4.0E-5,0.74
0.024,0.253,0.0,0.715
0.026,0.245,1.0E-5,0.725
0.028,0.251,0.0,0.74
0.028,0.24,1.0E-4,0.745
0.03,0.248,0.0,0.74
0.03,0.244,4.0E-5,0.675
0.033,0.234,1.0E-4,0.76
0.033,0.243,0.0,0.685
0.033,0.229,1.8E-4,0.745
0.034,0.241,0.0,0.685
0.034,0.236,9.0E-5,0.76
0.035,0.24,0.0,0.755
0.035,0.239,1.0E-5,0.7
0.036,0.235,0.0,0.67
0.038,0.233,0.0,0.67
0.039,0.23,0.0,0.78
0.039,0.228,1.1E-4,0.695
0.043,0.228,4.0E-5,0.67
0.044,0.228,3.0E-5,0.67
0.045,0.225,6.0E-5,0.74
0.045,0.223,1.2E-4,0.73
0.046,0.221,2.0E-5,0.71
0.046,0.22,4.0E-5,0.745
