0.0,0.288,1.0,0.72
0.003,0.285,3.528,0.72
0.005,0.275,10.585,0.745
0.006,0.283,1.134,0.72
0.008,0.274,1.417,0.725
0.01,0.271,2.117,0.75
0.01,0.276,1.176,0.72
0.011,0.268,2.823,0.75
0.011,0.275,1.008,0.72
0.011,0.269,1.764,0.705
0.013,0.266,2.352,0.75
0.014,0.268,1.323,0.735
0.015,0.268,1.176,0.735
0.016,0.26,1.059,0.675
0.018,0.256,1.039,0.78
0.019,0.255,1.283,0.67
0.023,0.254,4.818,0.735
0.024,0.245,2.566,0.745
0.025,0.254,1.134,0.695
0.025,0.244,2.551,0.74
0.026,0.25,1.7,0.67
0.028,0.243,1.275,0.78
0.028,0.264,1.038,0.725
0.029,0.231,1.02,0.7
0.034,0.264,1.008,0.69
0.035,0.229,1.039,0.7
0.039,0.23,1.029,0.69
0.04,0.223,4.251,0.75
0.04,0.249,1.012,0.72
0.041,0.219,4.393,0.74
0.041,0.225,1.587,0.765
0.043,0.225,1.27,0.705
0.043,0.211,1.47,0.72
0.044,0.224,1.045,0.68
0.044,0.221,1.37,0.685
0.045,0.228,1.008,0.725
0.046,0.219,1.464,0.675
0.046,0.22,1.134,0.685
0.048,0.219,1.063,0.72
0.05,0.219,1.024,0.685
0.051,0.205,1.377,0.705
0.051,0.225,1.008,0.735
0.053,0.214,1.039,0.72
0.056,0.21,1.311,0.68
0.059,0.211,1.078,0.675
0.06,0.201,1.311,0.73
0.061,0.2,1.7,0.69
0.061,0.209,1.144,0.685
0.063,0.208,1.005,0.715
0.065,0.206,1.056,0.72
0.065,0.203,1.176,0.715
0.066,0.203,1.033,0.725
0.066,0.193,1.147,0.715
0.069,0.205,1.016,0.725
0.07,0.198,1.039,0.725
0.071,0.196,1.042,0.705
0.074,0.196,1.003,0.725
0.075,0.184,1.9,0.715
0.081,0.19,1.684,0.695
0.083,0.191,1.155,0.725
0.084,0.184,1.725,0.705
0.084,0.189,1.018,0.73
0.085,0.181,1.577,0.715
0.085,0.206,1.001,0.715
0.085,0.18,1.688,0.7
0.09,0.181,1.176,0.685
0.09,0.19,1.008,0.725
0.09,0.17,1.553,0.715
0.091,0.174,1.522,0.705
0.091,0.184,1.096,0.765
0.091,0.176,1.425,0.695
0.093,0.175,1.398,0.695
0.093,0.174,1.493,0.705
0.094,0.179,1.197,0.75
0.096,0.188,1.0,0.7
0.096,0.174,1.323,0.7
0.098,0.178,1.217,0.69
0.099,0.165,1.449,0.725
0.099,0.176,1.196,0.69
0.1,0.178,1.176,0.68
0.1,0.181,1.05,0.745
0.101,0.171,1.081,0.67
0.103,0.171,1.064,0.67
0.104,0.171,1.048,0.67
0.104,0.183,1.023,0.715
0.105,0.173,1.031,0.755
0.106,0.165,1.309,0.685
0.108,0.168,1.213,0.755
0.109,0.166,1.053,0.675
0.109,0.179,1.014,0.735
0.113,0.179,1.008,0.685
0.114,0.179,1.006,0.685
0.114,0.153,1.264,0.715
0.115,0.178,1.02,0.685
0.119,0.155,1.193,0.7
0.12,0.155,1.176,0.7
0.121,0.145,1.737,0.74
