
Pareto Frontier:
------------------------------------------------------------
FalseNegativeRate	FalsePositiveRate	Disparate Impact	FNR Ratio
0.0,0.538,1.001,1.0,0.4359805510534846
0.0,0.539,1.0,1.0,0.4351701782820097
0.001,0.537,1.003,9.223372036854776E15,0.4392220421393841
0.002,0.532,1.009,9.223372036854776E15,0.44327390599675853
0.002,0.534,1.007,9.223372036854776E15,0.4392220421393841
0.003,0.537,1.013,4.95,0.4343598055105348
0.003,0.537,1.022,4.57,0.4327390599675851
0.003,0.536,1.006,9.223372036854776E15,0.43841166936790926
0.003,0.531,1.012,9.223372036854776E15,0.440032414910859
0.004,0.537,1.002,9.223372036854776E15,0.4343598055105348
0.004,0.528,1.016,9.223372036854776E15,0.44570502431118314
0.004,0.529,1.014,3.3,0.440032414910859
0.004,0.511,1.034,9.223372036854776E15,0.46029173419773095
0.005,0.526,1.019,9.223372036854776E15,0.4481361426256078
0.005,0.534,1.008,1.238,0.42544570502431117
0.005,0.535,1.001,1.188,0.4359805510534846
0.005,0.534,1.001,9.223372036854776E15,0.42625607779578606
0.006,0.519,1.028,9.223372036854776E15,0.4505672609400324
0.006,0.52,1.027,9.223372036854776E15,0.4529983792544571
0.006,0.515,1.032,9.223372036854776E15,0.45623987034035657
0.007,0.527,1.017,1.178,0.440032414910859
0.007,0.536,1.018,1.077,0.4286871961102107
0.007,0.5,1.05,9.223372036854776E15,0.4692058346839546
0.007,0.509,1.039,9.223372036854776E15,0.4586709886547812
0.008,0.524,1.024,9.223372036854776E15,0.4327390599675851
0.008,0.518,1.031,9.223372036854776E15,0.45786061588330634
0.008,0.506,1.044,9.223372036854776E15,0.46434359805510533
0.008,0.505,1.046,9.223372036854776E15,0.4675850891410049
0.008,0.488,1.065,9.223372036854776E15,0.47487844408427876
0.009,0.523,1.002,1.449,0.44084278768233387
0.009,0.486,1.068,9.223372036854776E15,0.4773095623987034
0.009,0.529,1.008,1.414,0.4343598055105348
0.009,0.519,1.022,9.223372036854776E15,0.44327390599675853
0.009,0.504,1.047,9.223372036854776E15,0.45705024311183146
0.01,0.513,1.011,1.683,0.45786061588330634
0.01,0.519,1.004,1.212,0.44246353322528365
0.01,0.48,1.077,9.223372036854776E15,0.4813614262560778
0.011,0.52,1.003,1.142,0.4392220421393841
0.012,0.523,1.001,1.919,0.44246353322528365
