
Pareto Frontier:
------------------------------------------------------------
FalseNegativeRate	FalsePositiveRate	Disparate Impact	TPR Ratio
0.0,0.538,1.002,1.001,0.43841166936790926
0.0,0.539,1.0,1.0,0.4351701782820097
0.001,0.531,1.01,1.002,0.44165316045380876
0.001,0.537,1.003,1.001,0.4392220421393841
0.002,0.525,1.016,1.004,0.4554294975688817
0.002,0.536,1.006,1.005,0.4376012965964344
0.002,0.533,1.009,1.005,0.44084278768233387
0.002,0.529,1.012,1.004,0.4513776337115073
0.002,0.518,1.025,1.005,0.4586709886547812
0.003,0.535,1.001,1.007,0.4359805510534846
0.004,0.529,1.003,1.01,0.44327390599675853
0.004,0.529,1.005,1.008,0.4367909238249595
0.004,0.533,1.001,1.005,0.4343598055105348
0.005,0.535,1.001,1.002,0.4359805510534846
0.005,0.516,1.03,1.012,0.44894651539708263
0.005,0.504,1.043,1.012,0.4675850891410049
0.005,0.518,1.018,1.004,0.45705024311183146
0.005,0.51,1.037,1.012,0.4619124797406807
0.006,0.528,1.009,1.0,0.4376012965964344
0.006,0.532,1.005,1.001,0.4392220421393841
0.006,0.537,1.001,1.001,0.43841166936790926
0.006,0.534,1.003,1.001,0.44165316045380876
0.006,0.525,1.013,1.001,0.44408427876823336
0.007,0.525,1.003,1.015,0.44489465153970825
0.007,0.524,1.014,1.001,0.4473257698541329
0.008,0.508,1.042,1.018,0.46677471636953
0.009,0.515,1.035,1.02,0.4586709886547812
0.01,0.48,1.077,1.024,0.4813614262560778
0.01,0.516,1.007,1.008,0.4538087520259319
0.01,0.481,1.075,1.023,0.4813614262560778
0.011,0.532,1.0,1.011,0.42949756888168555
0.011,0.525,1.008,1.003,0.44327390599675853
0.012,0.505,1.041,1.028,0.4586709886547812
0.012,0.526,1.008,1.002,0.42949756888168555
0.012,0.52,1.005,1.013,0.4351701782820097
0.012,0.51,1.015,1.001,0.44570502431118314
0.012,0.501,1.054,1.027,0.46434359805510533
0.013,0.5,1.047,1.016,0.46677471636953
0.014,0.521,1.004,1.005,0.44165316045380876
0.014,0.515,1.012,1.005,0.4481361426256078
0.015,0.528,1.001,1.009,0.4367909238249595
0.016,0.499,1.033,1.009,0.44894651539708263
0.017,0.466,1.091,1.024,0.49351701782820095
0.017,0.508,1.013,1.026,0.46434359805510533
0.017,0.51,1.002,1.003,0.4505672609400324
0.017,0.461,1.108,1.039,0.49027552674230146
0.017,0.463,1.105,1.039,0.49432739059967584
0.017,0.506,1.026,1.011,0.4497568881685575
0.017,0.497,1.045,1.026,0.4619124797406807
0.018,0.487,1.058,1.014,0.45786061588330634
0.019,0.504,1.021,1.031,0.46677471636953
0.019,0.508,1.003,1.002,0.4481361426256078
0.02,0.498,1.037,1.017,0.4529983792544571
0.02,0.451,1.105,1.033,0.5032414910858996
0.02,0.45,1.126,1.047,0.5032414910858996
0.02,0.48,1.048,1.003,0.46029173419773095
0.021,0.505,1.021,1.01,0.4521880064829822
0.021,0.504,1.007,1.04,0.45948136142625606
0.021,0.507,1.02,1.036,0.46029173419773095
0.021,0.45,1.116,1.034,0.5032414910858996
0.022,0.515,1.001,1.008,0.42949756888168555
0.022,0.472,1.07,1.023,0.4692058346839546
0.022,0.494,1.035,1.023,0.45623987034035657
0.023,0.501,1.028,1.025,0.44570502431118314
0.024,0.496,1.034,1.011,0.45705024311183146
0.024,0.449,1.121,1.056,0.4991896272285251
0.024,0.467,1.079,1.027,0.4683954619124797
0.024,0.472,1.052,1.003,0.4683954619124797
0.024,0.493,1.043,1.048,0.45623987034035657
0.024,0.508,1.001,1.012,0.4505672609400324
0.025,0.433,1.156,1.06,0.5218800648298217
0.025,0.499,1.032,1.044,0.4700162074554295
